species_name_dutch	species_latin_name	species_name_english
	Aedes albopictus	Tiger mosquito
	Culex pipiens	Common house mosquito
	Culiseta morsitans	Tussock Winter Mosquito
	Culex territants	northern frog-biting mosquito
	Aedes aegypti	Yellow fever mosquito
	Homo sapiens	Human
Ekster	Pica pica	Magpie
Knobbelzwaan	Cygnus olor	Mute Swan
Meerkoet	Fulica atra	Coot
Wilde Eend	Anas platyrhynchos	Mallard
Fuut	Podiceps cristatus	Great Crested Grebe
Tjiftjaf	Phylloscopus collybita	Chiffchaff
Kauw	Coloeus monedula	Jackdaw
Kleine Mantelmeeuw	Larus fuscus	Lesser Black-backed Gull
Pimpelmees	Cyanistes caeruleus	Blue Tit
Houtduif	Columba palumbus	Wood Pigeon
Stormmeeuw	Larus canus	Great Black-backed Gull
Witte Kwikstaart	Motacilla alba	White Wagtail
Zilvermeeuw	Larus argentatus	Silver Gull
Oeverloper	Actitis hypoleucos	Sandpiper
Grote Mantelmeeuw	Larus marinus	Great Black-backed Gull
Zwarte Kraai	Corvus corone	Carrion Crow
Kokmeeuw	Chroicocephalus ridibundus	Black-headed Gull
Merel	Turdus merula	Eurasian Blackbird
Heggenmus	Prunella modularis	Hedge Sparrow
Stadsduif	Columba livia forma domestica	City Pigeon
Blauwe Reiger	Ardea cinerea	Blue Heron
Nijlgans	Alopochen aegyptiaca	Egyptian Goose
Geelpootmeeuw	Larus michahellis	Yellow-legged Gull
Pontische Meeuw	Larus cachinnans	Pontian Gull
Aalscholver	Phalacrocorax carbo	Cormorant
Spreeuw	Sturnus vulgaris	Starling
Boomkruiper	Certhia brachydactyla	Tree Creeper
Parkeend	Anas platyrhynchos forma domestica	Park Duck
Waterhoen	Gallinula chloropus	Moorhen
Grote Gele Kwikstaart	Motacilla cinerea	Grey Wagtail
Turkse Tortel	Streptopelia decaocto	Red Dove
Grote Bonte Specht	Dendrocopos major	Great Spotted Woodpecker
Eend Spec.	Anatidae spec.	Duck Spec.
Roodborst	Erithacus rubecula	Robin
Graspieper	Anthus pratensis	Meadow Pipit
Zwarte Roodstaart	Phoenicurus ochruros	Black Redstart
Buizerd	Buteo buteo	Buzzard
Kneu	Linaria cannabina	Linnet
Zanglijster	Turdus philomelos	Song Thrush
Vink	Fringilla coelebs	Finch
Slechtvalk	Falco peregrinus	Peregrine Falcon
Koolmees	Parus major	Great Tit
Gaai	Garrulus glandarius	Jay
Goudhaan	Regulus regulus	Goldcrest
Vuurgoudhaan	Regulus ignicapilla	Firecrest
Krakeend	Mareca strepera	Gadget
Huismus	Passer domesticus	House Sparrow
Halsbandparkiet	Psittacula krameri	Ring-necked Parakeet
Groene Specht	Picus viridis	Green Woodpecker
Dodaars	Tachybaptus ruficollis	Little Grebe
Winterkoning	Troglodytes troglodytes	Wren
IJsvogel	Alcedo atthis	Kingfisher
Rietgors	Emberiza schoeniclus	Reed Bunting
Sijs	Spinus spinus	Siskin
Koperwiek	Turdus iliacus	Redwing
Kuifeend	Aythya fuligula	Tufted Duck
Putter	Carduelis carduelis	Goldfinch
Grauwe Gans	Anser anser	Greylag Goose
Groenling	Chloris chloris	Greenfinch
Waterral	Rallus aquaticus	Water Rail
Cetti's Zanger	Cettia cetti	Cetti's Warbler
Tafeleend	Aythya ferina	Pearl Duck
Slobeend	Spatula clypeata	Shoveler
Zwartkopmeeuw	Ichthyaetus melanocephalus	Black-headed Gull
Ringmus	Passer montanus	Red Sparrow
Torenvalk	Falco tinnunculus	Kestrel
Holenduif	Columba oenas	Stock Dove
Kolgans	Anser albifrons	White-fronted Goose
Staartmees	Aegithalos caudatus	Long-tailed Tit
Kramsvogel	Turdus pilaris	Fieldfare
Wintertaling	Anas crecca	Winter Teal
Parkgans	Anser anser forma domestica	Park Goose
Oeverpieper	Anthus petrosus	Wind Pipit
Gans Spec.	Anser/Branta spec.	Goose Spec.
Sperwer	Accipiter nisus	Sparrowhawk
Konijn	Oryctolagus cuniculus	Rabbit
Grote Canadese Gans	Branta canadensis	Greater Canada Goose
Witkopeend	Oxyura leucocephala	White-headed Duck
Kleine Zwaan	Cygnus bewickii	Bewick’s Swan
Wilde Zwaan	Cygnus cygnus	Whooper Swan
Witbuikrotgans	Branta hrota	Pale-bellied Brent Goose
Rotgans	Branta bernicla	Dark-bellied Brent Goose
Zwarte Rotgans	Branta nigricans	Black Brant
Roodhalsgans	Branta ruficollis	Red-breasted Goose
Brandgans	Branta leucopsis	Barnacle Goose
Kleine Canadese Gans	Branta hutchinsii	Cackling Goose
